target_token,rel_freq
vây,0.20441657215291215
vảy,0.02128227366735606
vậy,0.6941090132764027
vay,0.05050370271532457
váy,0.015744879578357462
vẩy,0.008206017746347322
vấy,0.0010674494629394889
vẫy,0.003068917205951031
vầy,0.001000733871505771
vậỵ,0.00020014677430115418
vạy,0.0002668623657348722
vãy,6.671559143371805e-05
vâỵ,6.671559143371805e-05
lưng,0.29049729197439683
lũng,0.4066962087641556
lụng,0.004431314623338257
lùng,0.10438207779419005
lung,0.04874446085672083
lừng,0.09527326440177253
lửng,0.02486459871984244
lúng,0.017971442639094042
lững,0.0027080256031511572
lủng,0.0034465780403741997
lựng,0.0009847365829640572
có,0.7541452925430452
cơ,0.08730416468295882
cô,0.0544161277812635
cổ,0.0515722001343141
cố,0.024646321969183427
cỡ,0.0036163913648015085
cớ,0.0013053060375133605
cỏ,0.006318437920716846
cờ,0.0092096592646776
co,0.004224903599680925
cỗ,0.000844980719936185
cộ,0.000324750052811295
cồ,0.00036573792355446813
cọ,0.0009206506351543508
cò,0.0007377816733771168
cở,3.1529131340902424e-05
cõ,9.458739402270729e-06
cợ,6.305826268180486e-06
tia,0.7508048937540245
tía,0.13779781068898905
tỉa,0.11010946555054733
tịa,0.00128783000643915
hậu,0.6118160389187021
hầu,0.3816640754300617
hấu,0.002557801293946537
hâu,0.0021064245950147952
hàu,0.0006519885651236271
hau,0.00020061186619188526
hẩu,0.0004012237323837705
hẫu,0.00015045889964391393
háu,0.00030091779928782786
hầụ,5.0152966547971315e-05
hầủ,5.0152966547971315e-05
hâụ,5.0152966547971315e-05
môn,0.7048572859288933
mòn,0.07361041562343515
món,0.2029043565348022
mon,0.008612919379068603
mọn,0.003605408112168252
mơn,0.0024036054081121683
mởn,0.00030045067601402103
mớn,0.0015022533800701052
mồn,0.00010015022533800701
mỏn,0.00010015022533800701
møn,0.0016024036054081122
mộn,0.00020030045067601402
mõn,0.00020030045067601402
đường,0.5365440869201838
đương,0.07801922273297117
dường,0.024759715837860425
dương,0.3133723359799415
dưỡng,0.04040952778938571
dượng,0.001107396573338905
đuống,0.0013999164229001255
đướng,8.357709987463435e-05
duơng,0.0003343083994985374
đuông,0.002381947346427079
đừong,6.268282490597577e-05
đuờng,0.0002089427496865859
dướng,0.00022983702465524447
đượng,0.0002507312996239031
đuơng,8.357709987463435e-05
duong,0.00043877977434183033
dưong,0.00010447137484329294
duỡng,2.0894274968658587e-05
duồng,8.357709987463435e-05
đưong,2.0894274968658587e-05
duông,2.0894274968658587e-05
đưòng,2.0894274968658587e-05
đưởng,2.0894274968658587e-05
đưỡng,2.0894274968658587e-05
bên,0.7456542079086029
ben,0.011079923179199291
bền,0.04417196040774117
bén,0.008420741616191461
bèn,0.09612448909243118
bến,0.0923326931599941
bện,0.0016742995026345596
bẽn,0.00014773230905599054
bẹn,0.0003447087211306446
bēn,4.924410301866352e-05
cái,0.4970236838772322
cãi,0.06843416219867438
cải,0.2608603875543547
cai,0.14619833664035126
cài,0.027230126229577406
cại,0.00016886899987334826
